Kalu,234422,Amhara,1
Albuko,92032,Amhara,1
Dessie Zuria,181848,Amhara,1
Legambo,196798,Amhara,1
Sayint,172033,Amhara,1
Borena /Debresina,172406,Amhara,1
Kelela,164840,Amhara,1
Jama,151635,Amhara,1
Were Ilu,127871,Amhara,1
Wegde,159958,Amhara,1
Kombolcha town,158695,Amhara,1
Dessie town,280210,Amhara,1
Mehal Sayint,84684,Amhara,1
Legehida,79236,Amhara,1
Mekdela,169028,Amhara,1
Worebabu,121859,Amhara,1
Wereilu town,23316,Amhara,1
Mekane Selame,17761,Amhara,1
Hike town,30049,Amhara,1
Mida Woremo,114296,Amhara,1
Merhabete,145289,Amhara,1
Ensaro,69887,Amhara,1
Moretna Jiru,115118,Amhara,1
Menze Gera Midir,126192,Amhara,1
Gishe Rabel,73409,Amhara,1
Antsokiya,102284,Amhara,1
Eferatana Gidem,136790,Amhara,1
Menze Mama Midir,103920,Amhara,1
Tarema Ber,106480,Amhara,1
Mojan Wedera,82517,Amhara,1
Kewet,116215,Amhara,1
Angolelana Tera,99911,Amhara,1
Assagirt,56901,Amhara,1
Ankober,92089,Amhara,1
Hagere Mariam,65615,Amhara,1
Berehet,43647,Amhara,1
Minjar Shenkora,159381,Amhara,1
Basona Worena,140497,Amhara,1
Debre Berhan town,132788,Amhara,1
Menze Keya Gabriel,55618,Amhara,1
Menze Lalo Midir,41276,Amhara,1
Siya Debirna Wayu,74373,Amhara,1
Shoa Robit,62545,Amhara,1
Mehale Meda town,22500,Amhara,1
Ataye town,31218,Amhara,1
Aleme Ketma,26703,Amhara,1
Bibugn,100091,Amhara,1
Hulet Ej Enese,282583,Amhara,1
Goncha Siso Enebse,179708,Amhara,1
Enebse Sarmder,165190,Amhara,1
Enarj Enawga,213223,Amhara,1
Enemay,168850,Amhara,1
Debay Telatgen,152068,Amhara,1
Debre Elias,105661,Amhara,1
Michakel,143911,Amhara,1
Guzamn,155504,Amhara,1
Baso Liben,165213,Amhara,1
Awabel,150676,Amhara,1
Dejen,108029,Amhara,1
Shebel Bernta,134342,Amhara,1
Debre Markos town,127170,Amhara,1
Senan,118126,Amhara,1
Aneded,106757,Amhara,1
Sedae,84968,Amhara,1
Mota Town,62353,Amhara,1
Dejen town,17704,Amhara,1
Bechena Town,38426,Amhara,1
Semen Achefer,232491,Amhara,1
Bahirdar Zuria,210676,Amhara,1
Yilmana Densa,225660,Amhara,1
Mecha,129075,Amhara,1
Sekela,165932,Amhara,1
Quarit,136572,Amhara,1
Dega Damot,181640,Amhara,1
