Christopher,8,Male,100,Female,1
Wanjiku,8,Male,27,Female,73
Daisy,8,Male,1,Female,100
Nelly,8,Male,1,Female,100
Omar,8,Male,87,Female,13
Njeri,8,Male,24,Female,76
Mutua,8,Male,51,Female,49
Nelson,8,Male,100,Female,1
Ouma,8,Male,61,Female,39
Alfred,8,Male,100,Female,1
Clinton,8,Male,100,Female,1
Enock,8,Male,100,Female,1
Kenneth,8,Male,100,Female,1
Betty,8,Male,1,Female,100
Stella,8,Male,1,Female,100
Elvis,8,Male,100,Female,1
Doreen,8,Male,1,Female,100
Salome,8,Male,1,Female,100
Veronica,8,Male,1,Female,100
Judy,8,Male,1,Female,100
Fridah,8,Male,1,Female,100
Teresia,7,Male,1,Female,100
Duncan,7,Male,100,Female,1
Suleiman,7,Male,89,Female,11
Rashid,7,Male,84,Female,16
Monica,7,Male,1,Female,100
Atieno,7,Male,1,Female,100
Rebecca,7,Male,1,Female,100
Dickson,7,Male,100,Female,1
Caren,7,Male,1,Female,100
Hannah,7,Male,1,Female,100
Carolyne,7,Male,1,Female,100
Valentine,7,Male,2,Female,98
Moraa,7,Male,1,Female,100
Everlyne,7,Male,1,Female,100
Lawrence,7,Male,100,Female,1
Juliet,7,Male,1,Female,100
Wanjala,7,Male,77,Female,23
Muthoni,7,Male,26,Female,74
Josphine,7,Male,1,Female,100
Monicah,7,Male,1,Female,100
Solomon,7,Male,100,Female,1
Meshack,7,Male,100,Female,1
Caleb,7,Male,100,Female,1
Wambua,7,Male,52,Female,48
Marion,7,Male,1,Female,100
Kerubo,7,Male,1,Female,100
Gloria,7,Male,1,Female,100
Irine,7,Male,1,Female,100
Winfred,7,Male,1,Female,100
Simiyu,7,Male,80,Female,20
Abraham,7,Male,100,Female,1
Jeremiah,7,Male,100,Female,1
Boniface,7,Male,100,Female,1
Akinyi,7,Male,1,Female,100
Violet,7,Male,1,Female,100
Hamisi,7,Male,80,Female,20
Kibet,6,Male,95,Female,5
Gabriel,6,Male,100,Female,1
Kimani,6,Male,57,Female,43
Rosemary,6,Male,1,Female,100
Raphael,6,Male,100,Female,1
Dorothy,6,Male,1,Female,100
Jacinta,6,Male,1,Female,100
Mariam,6,Male,1,Female,100
Justus,6,Male,100,Female,1
Mutuku,6,Male,52,Female,48
Reuben,6,Male,100,Female,1
Derrick,6,Male,100,Female,1
Achieng,6,Male,1,Female,100
Ezekiel,6,Male,100,Female,1
Njuguna,6,Male,58,Female,42
Ronald,6,Male,100,Female,1
Maurine,6,Male,1,Female,100
Wekesa,6,Male,80,Female,20
Nekesa,6,Male,1,Female,100
Bernard,6,Male,100,Female,1
Linda,6,Male,1,Female,100
Lewis,6,Male,100,Female,1
Regina,6,Male,1,Female,100
Leonard,6,Male,100,Female,1
Rachael,6,Male,1,Female,100
Cecilia,6,Male,1,Female,100
Silas,6,Male,100,Female,1
Abdiaziz,6,Male,50,Female,50
Festus,5,Male,100,Female,1
Jonathan,5,Male,100,Female,1
Peris,5,Male,1,Female,100
Abdifatah,5,Male,50,Female,50
Asha,5,Male,1,Female,100
Godfrey,5,Male,100,Female,1
Geofrey,5,Male,100,Female,1
Said,5,Male,89,Female,11
Musyoka,5,Male,51,Female,49
Rael,5,Male,1,Female,100
Douglas,5,Male,100,Female,1
Bishar,5,Male,50,Female,50
Dancan,5,Male,100,Female,1
Emmaculate,5,Male,1,Female,100
Eliud,5,Male,100,Female,1
Patricia,5,Male,1,Female,100
Kioko,5,Male,55,Female,45
Teresa,5,Male,1,Female,100
Kwamboka,5,Male,1,Female,100
Pius,5,Male,100,Female,1
Veronicah,5,Male,1,Female,100
Rehema,5,Male,1,Female,100
Morris,5,Male,100,Female,1
Elias,5,Male,100,Female,1
Doris,5,Male,1,Female,100
Macharia,5,Male,64,Female,36
Pamela,5,Male,1,Female,100
Musa,5,Male,96,Female,4
Mildred,5,Male,1,Female,100
Mathew,5,Male,100,Female,1
Celestine,5,Male,1,Female,100
Edith,5,Male,1,Female,100
Barasa,5,Male,69,Female,31
Fred,5,Male,100,Female,1
Nanjala,5,Male,1,Female,100
Frankline,5,Male,100,Female,1
Lydiah,5,Male,1,Female,100
Everline,5,Male,1,Female,100
Wairimu,5,Male,22,Female,78
Isaiah,5,Male,100,Female,1
Victoria,5,Male,1,Female,100
Harrison,5,Male,100,Female,1
Zipporah,5,Male,1,Female,100
Mutinda,5,Male,51,Female,49
Newton,4,Male,100,Female,1
Osman,4,Male,88,Female,12
Annah,4,Male,1,Female,100
Wycliffe,4,Male,100,Female,1
Karanja,4,Male,58,Female,42
Khadija,4,Male,1,Female,100
Mohammed,4,Male,84,Female,16
Beth,4,Male,1,Female,100
Yusuf,4,Male,86,Female,14
Margret,4,Male,1,Female,100
Nyambura,4,Male,21,Female,79
Risper,4,Male,1,Female,100
Virginia,4,Male,1,Female,100
Owino,4,Male,62,Female,38
Wangui,4,Male,23,Female,77
Muktar,4,Male,50,Female,50
Issa,4,Male,91,Female,9
Deborah,4,Male,1,Female,100
Albert,4,Male,100,Female,1
Mercyline,4,Male,1,Female,100
Adhiambo,4,Male,50,Female,50
Okoth,4,Male,66,Female,34
Jared,4,Male,100,Female,1
Job,4,Male,100,Female,1
Abdinasir,4,Male,50,Female,50
Rodgers,4,Male,100,Female,1
Yussuf,4,Male,99,Female,1
Wangari,4,Male,23,Female,77
Sophia,4,Male,1,Female,100
Ivy,4,Male,1,Female,100
Derick,4,Male,100,Female,1
Johnson,4,Male,100,Female,1
Peninah,4,Male,1,Female,100
Oduor,4,Male,57,Female,43
Beryl,4,Male,1,Female,100
Oscar,4,Male,100,Female,1
Anna,4,Male,1,Female,100
Silvia,4,Male,1,Female,100
Jelagat,4,Male,1,Female,100
Aisha,4,Male,1,Female,100
Nickson,4,Male,100,Female,1
Wilfred,4,Male,100,Female,1
Kiprotich,4,Male,100,Female,1
Winny,4,Male,1,Female,100
Njoki,4,Male,23,Female,77
Abdirashid,4,Male,50,Female,50
Serah,4,Male,1,Female,100
Wanyonyi,4,Male,74,Female,26
Nyongesa,4,Male,66,Female,34
Kinyua,4,Male,53,Female,47
Maria,4,Male,1,Female,100
Cyrus,4,Male,100,Female,1
Abubakar,4,Male,89,Female,11
Nasimiyu,4,Male,50,Female,50
Aron,4,Male,100,Female,1
Kipkoech,4,Male,100,Female,1
Melvin,4,Male,17,Female,83
Gitonga,4,Male,51,Female,49
Walter,4,Male,100,Female,1
Kiptoo,4,Male,97,Female,3
Naomy,4,Male,1,Female,100
Julia,4,Male,1,Female,100
Anyango,4,Male,1,Female,100
Angela,4,Male,1,Female,100
Mbugua,4,Male,57,Female,43
Mohamud,4,Male,93,Female,7
Tonny,4,Male,100,Female,1
Waweru,4,Male,54,Female,46
Magdaline,4,Male,1,Female,100
Sandra,4,Male,1,Female,100
Onesmus,4,Male,100,Female,1
Zakaria,4,Male,100,Female,1
Wesley,4,Male,100,Female,1
Mirriam,4,Male,1,Female,100
Ramadhan,4,Male,91,Female,9
Haron,4,Male,100,Female,1
Abdirizak,4,Male,50,Female,50
Chege,3,Male,57,Female,43
Daud,3,Male,87,Female,13
Stacy,3,Male,1,Female,100
Immaculate,3,Male,1,Female,100
Hilda,3,Male,1,Female,100
Ngugi,3,Male,53,Female,47
Mourine,3,Male,1,Female,100
Tom,3,Male,96,Female,4
Mwendwa,3,Male,53,Female,47
Mike,3,Male,100,Female,1
Cosmas,3,Male,100,Female,1
Belinda,3,Male,1,Female,100
Alvin,3,Male,100,Female,1
Steven,3,Male,100,Female,1
Kiprono,3,Male,99,Female,1
Njeru,3,Male,48,Female,52
Loise,3,Male,1,Female,100
Tracy,3,Male,1,Female,100
Viola,3,Male,1,Female,100
Habiba,3,Male,1,Female,100
Milka,3,Male,1,Female,100
Ezra,3,Male,100,Female,1
Emma,3,Male,1,Female,100
Neema,3,Male,1,Female,100
Evaline,3,Male,1,Female,100
Rahma,3,Male,1,Female,100
Moureen,3,Male,1,Female,100
Muriithi,3,Male,59,Female,41
Abel,3,Male,100,Female,1
Davis,3,Male,100,Female,1
Mwende,3,Male,8,Female,92
Maurice,3,Male,100,Female,1
Mburu,3,Male,54,Female,46
Gerald,3,Male,100,Female,1
Evalyne,3,Male,1,Female,100
Rukia,3,Male,1,Female,100
Kiprop,3,Male,96,Female,4
Roseline,3,Male,1,Female,100
Ken,3,Male,100,Female,1
Maryan,3,Male,50,Female,50
Shukri,3,Male,50,Female,50
Nyaboke,3,Male,1,Female,100
Glory,3,Male,50,Female,50
Musyoki,3,Male,54,Female,46
Irungu,3,Male,52,Female,48
Noah,3,Male,100,Female,1
Loice,3,Male,1,Female,100
Maxwell,3,Male,100,Female,1
Mwaura,3,Male,53,Female,47
Cheruiyot,3,Male,87,Female,13
Austine,3,Male,100,Female,1
Nyaga,3,Male,49,Female,51
Abdihakim,3,Male,97,Female,3
Zamzam,3,Male,50,Female,50
Norah,3,Male,1,Female,100
Elisha,3,Male,100,Female,1
Kimutai,3,Male,94,Female,6
Gitau,3,Male,51,Female,49
Kiplagat,3,Male,83,Female,17
Rahab,3,Male,1,Female,100
Nasra,3,Male,50,Female,50
Laban,3,Male,100,Female,1
Naliaka,3,Male,1,Female,100
Kipkorir,3,Male,100,Female,1
Josephat,3,Male,100,Female,1
Abdinoor,3,Male,50,Female,50
Harriet,3,Male,1,Female,100
Muli,3,Male,52,Female,48
Yahya,3,Male,99,Female,1
Auma,3,Male,50,Female,50
Noor,3,Male,92,Female,8
Justine,3,Male,73,Female,27
Moreen,3,Male,1,Female,100
Oliver,3,Male,97,Female,3
Steve,3,Male,100,Female,1
Issack,3,Male,98,Female,2
Mungai,3,Male,64,Female,36
Awuor,3,Male,50,Female,50
Michelle,3,Male,50,Female,50
Ndungu,3,Male,59,Female,41
Nathan,3,Male,100,Female,1
Harun,3,Male,100,Female,1
Augustine,3,Male,100,Female,1
Mutisya,3,Male,52,Female,48
Alexander,3,Male,100,Female,1
Dorine,3,Male,1,Female,100
Eugene,3,Male,100,Female,1
Selina,3,Male,1,Female,100
Wachira,3,Male,57,Female,43
Ayub,3,Male,98,Female,2
Tony,3,Male,100,Female,1
Cornelius,3,Male,100,Female,1
Boaz,3,Male,100,Female,1
Getrude,3,Male,1,Female,100
Mutunga,3,Male,53,Female,47
Aden,3,Male,97,Female,3
Akoth,3,Male,1,Female,100
Abdalla,3,Male,77,Female,23
Bakari,3,Male,86,Female,14
Mwaniki,3,Male,54,Female,46
Karen,3,Male,1,Female,100
Dan,3,Male,100,Female,1
Chris,3,Male,100,Female,1
Rachel,3,Male,1,Female,100
Japheth,3,Male,100,Female,1
Philemon,3,Male,100,Female,1
Farhiya,3,Male,50,Female,50
Ng'ang'a,3,Male,58,Female,42
Salma,3,Male,1,Female,100
Stellah,3,Male,1,Female,100
Mwenda,3,Male,50,Female,50
Priscilla,3,Male,1,Female,100
Phoebe,3,Male,1,Female,100
Joyline,3,Male,1,Female,100
Jebet,3,Male,1,Female,100
Rhoda,3,Male,1,Female,100
Saumu,3,Male,1,Female,100
Benedict,3,Male,100,Female,1
Maxwel,2,Male,100,Female,1
Eugine,2,Male,100,Female,1
Dorcus,2,Male,1,Female,100
Raymond,2,Male,100,Female,1
Lucas,2,Male,100,Female,1
Chebet,2,Male,1,Female,100
Racheal,2,Male,1,Female,100
Teresiah,2,Male,1,Female,100
Jeniffer,2,Male,1,Female,100
Njenga,2,Male,57,Female,43
Japhet,2,Male,100,Female,1
Simion,2,Male,100,Female,1
Najma,2,Male,50,Female,50
Ernest,2,Male,100,Female,1
Ndung'u,2,Male,62,Female,38
Munene,2,Male,79,Female,21
Murithi,2,Male,65,Female,35
Jecinta,2,Male,1,Female,100
Baraka,2,Male,99,Female,1
Humphrey,2,Male,100,Female,1
Juliana,2,Male,1,Female,100
Patience,2,Male,1,Female,100
Mwanzia,2,Male,54,Female,46
Hosea,2,Male,100,Female,1
Nicholus,2,Male,100,Female,1
Roselyne,2,Male,1,Female,100
Calvin,2,Male,86,Female,14
Felister,2,Male,1,Female,100
Karisa,2,Male,50,Female,50
Munyao,2,Male,60,Female,40
Laura,2,Male,1,Female,100
Penina,2,Male,1,Female,100
Kipruto,2,Male,97,Female,3
Linus,2,Male,100,Female,1
Reagan,2,Male,100,Female,1
Danson,2,Male,100,Female,1
Quinter,2,Male,1,Female,100
Arnold,2,Male,100,Female,1
Sheilah,2,Male,1,Female,100
Rodah,2,Male,1,Female,100
Robinson,2,Male,100,Female,1
Evance,2,Male,100,Female,1
Ismael,2,Male,100,Female,1
Sabina,2,Male,1,Female,100
Valary,2,Male,1,Female,100
Sylvester,2,Male,100,Female,1
Bosibori,2,Male,1,Female,100
Prisca,2,Male,1,Female,100
Charo,2,Male,67,Female,33
Musembi,2,Male,53,Female,47
Clare,2,Male,1,Female,100
Muriuki,2,Male,58,Female,42
Muema,2,Male,52,Female,48
Metrine,2,Male,1,Female,100
Idris,2,Male,87,Female,13
Jepkoech,2,Male,1,Female,100
Naima,2,Male,50,Female,50
Willy,2,Male,95,Female,5
Riziki,2,Male,4,Female,96
Kinyanjui,2,Male,65,Female,35
Wendy,2,Male,1,Female,100
Mugo,2,Male,53,Female,47
Dinah,2,Male,1,Female,100
Teddy,2,Male,100,Female,1
Sally,2,Male,1,Female,100
Clement,2,Male,100,Female,1
Edna,2,Male,1,Female,100
Fatma,2,Male,50,Female,50
Kilonzo,2,Male,53,Female,47
Khalid,2,Male,50,Female,50
Peterson,2,Male,100,Female,1
Awino,2,Male,50,Female,50
Mwikali,2,Male,14,Female,86
Kiplangat,2,Male,100,Female,1
Kipngetich,2,Male,100,Female,1
Mumo,2,Male,54,Female,46
Dianah,2,Male,1,Female,100
Kipchumba,2,Male,95,Female,5
Kazungu,2,Male,50,Female,50
Sahara,2,Male,50,Female,50
Siyad,2,Male,50,Female,50
Rotich,2,Male,71,Female,29
Feisal,2,Male,100,Female,1
Kuria,2,Male,54,Female,46
Wamalwa,2,Male,63,Female,37
Ambrose,2,Male,100,Female,1
Consolata,2,Male,1,Female,100
Anderson,2,Male,100,Female,1
Abass,2,Male,50,Female,50
Alphonce,2,Male,100,Female,1
Jeff,2,Male,100,Female,1
Jerop,2,Male,1,Female,100
Lucia,2,Male,1,Female,100
Mulwa,2,Male,51,Female,49
Kipkemoi,2,Male,96,Female,4
Billy,2,Male,100,Female,1
Carol,2,Male,1,Female,100
Sofia,2,Male,1,Female,100
Lavender,2,Male,1,Female,100
Shem,2,Male,100,Female,1
Muchiri,2,Male,54,Female,46
Zeinab,2,Male,50,Female,50
Adam,2,Male,95,Female,5
Yasmin,2,Male,50,Female,50
Makau,2,Male,54,Female,46
Jack,2,Male,100,Female,1
Fancy,2,Male,1,Female,100
Mueni,2,Male,15,Female,85
Kimathi,2,Male,64,Female,36
Jeruto,2,Male,1,Female,100
Frank,2,Male,100,Female,1
Priscah,2,Male,1,Female,100
Koech,2,Male,70,Female,30
Fidelis,2,Male,39,Female,61
Jamal,2,Male,97,Female,3
Nicole,2,Male,50,Female,50
Wainaina,2,Male,60,Female,40
Kipchirchir,2,Male,100,Female,1
Saidi,2,Male,85,Female,15
Lavenda,2,Male,50,Female,50
Makokha,2,Male,53,Female,47
Muhumed,2,Male,50,Female,50
Roy,2,Male,100,Female,1
Emilly,2,Male,1,Female,100
Fardowsa,2,Male,50,Female,50
Phylis,2,Male,1,Female,100
Brendah,2,Male,1,Female,100
Okumu,2,Male,65,Female,35
Velma,2,Male,1,Female,100
Noel,2,Male,36,Female,64
Hezron,2,Male,100,Female,1
Kassim,2,Male,86,Female,14
Micah,2,Male,100,Female,1
Abdimalik,2,Male,50,Female,50
Tobias,2,Male,100,Female,1
Abdirizack,2,Male,50,Female,50
Angeline,2,Male,1,Female,100
Ndegwa,2,Male,60,Female,40
Kenedy,2,Male,100,Female,1
Jemimah,2,Male,1,Female,100
Anita,2,Male,1,Female,100
Hesbon,2,Male,100,Female,1
Muiruri,2,Male,61,Female,39
Kahindi,2,Male,50,Female,50
Amani,2,Male,86,Female,14
Lameck,2,Male,100,Female,1
Njagi,2,Male,51,Female,49
Carren,2,Male,1,Female,100
Kemboi,2,Male,71,Female,29
Elosy,2,Male,1,Female,100
Katana,2,Male,69,Female,31
Elly,2,Male,100,Female,1
Naom,2,Male,1,Female,100
Erastus,2,Male,100,Female,1
Nicodemus,2,Male,100,Female,1
Lorna,2,Male,1,Female,100
